,index,articles
0,0,https://www.foxnews.com/on-air/outnumbered-overtime/
1,1,https://www.foxnews.com/on-air/sunday-morning-futures/index.html
2,2,https://www.foxnews.com/on-air/the-next-revolution-with-steve-hilton/index.html
3,3,https:/playlist/on-air-sunday-morning-futures-with-maria-bartiromo/
4,4,https:/playlist/on-air-the-next-revolution-with-steve-hilton/
5,5,https://www.foxnews.com/on-air/outnumbered-overtime/
6,6,https://www.foxnews.com/on-air/sunday-morning-futures/index.html
7,7,https://www.foxnews.com/on-air/the-next-revolution-with-steve-hilton/index.html
8,8,https:/playlist/on-air-sunday-morning-futures-with-maria-bartiromo/
9,9,https:/playlist/on-air-the-next-revolution-with-steve-hilton/
10,10,https://www.foxnews.com/on-air/outnumbered-overtime/
11,11,https://www.foxnews.com/on-air/sunday-morning-futures/index.html
12,12,https://www.foxnews.com/on-air/the-next-revolution-with-steve-hilton/index.html
13,13,https:/playlist/on-air-sunday-morning-futures-with-maria-bartiromo/
14,14,https:/playlist/on-air-the-next-revolution-with-steve-hilton/
15,15,https://www.foxnews.com/on-air/outnumbered-overtime/
16,16,https://www.foxnews.com/on-air/sunday-morning-futures/index.html
17,17,https://www.foxnews.com/on-air/the-next-revolution-with-steve-hilton/index.html
18,18,https:/playlist/on-air-sunday-morning-futures-with-maria-bartiromo/
19,19,https:/playlist/on-air-the-next-revolution-with-steve-hilton/
20,20,https://help.foxnews.com/hc/en-us/articles/360009219334-How-can-I-provide-feedback-about-the-network-s-coverage-
21,21,https://help.foxnews.com/hc/en-us/articles/360009349313-Can-I-stream-FOX-News-Channel-and-FOX-Business-Network-online-
22,22,https://help.foxnews.com/hc/en-us/articles/360009219434--Do-I-need-a-cable-subscription-to-watch-FOX-News-Channel-or-FOX-Business-Network-
23,23,https://help.foxnews.com/hc/en-us/articles/360009349613-Are-there-transcripts-available-for-FOX-News-programs-
24,24,https://help.foxnews.com/hc/en-us/articles/360009349633-Does-FOX-News-offer-any-studio-audience-opportunities-and-if-so-how-may-I-apply-to-be-an-audience-member-
25,25,https://help.foxnews.com/hc/en-us/articles/360009349993-How-do-I-contact-my-local-FOX-station-
26,26,https://help.foxnews.com/hc/en-us/articles/360009219534-What-is-the-process-for-requesting-a-correction-on-a-story-
27,27,https://help.foxnews.com/hc/en-us/articles/360009349693-Is-there-a-process-for-licensing-content-
28,28,https://help.foxnews.com/hc/en-us/articles/360009219554-Does-FOX-News-have-a-store-Where-can-I-buy-FOX-News-clothing-and-gear-
29,29,https://radio.foxnews.com/2020/04/26/the-fox-news-rundown-4-25-2020/
30,30,https://radio.foxnews.com/2020/04/16/senator-tom-cotton-this-is-an-example-of-chinese-treachery/
31,31,https://radio.foxnews.com/2020/03/16/christine-pelosi-the-american-peoples-health-comes-first/
32,32,https://radio.foxnews.com/2019/12/12/endless-hill-talkathon-as-panel-heads-toward-impeachment/
33,33,https://radio.foxnews.com/2020/04/24/sen-kennedy-early-virus-models-made-late-night-psychic-hotlines-look-respectable/
34,34,https://radio.foxnews.com/2020/04/23/hhs-deputy-secretary-its-georgias-decision-on-when-to-reopen/
35,35,https://radio.foxnews.com/2020/04/22/sen-chris-coons-relieved-to-unanimously-pass-relief-package-for-small-businesses/
36,36,https://radio.foxnews.com/2020/04/24/jessica-tarlov-briefings-should-be-doctors-or-the-task-force-only/
37,37,https://radio.foxnews.com/2020/04/24/judge-napolitano-mi-and-nj-governors-in-a-game-to-interfere-with-personal-liberty-the-most/
38,38,https://radio.foxnews.com/2020/04/23/rep-greg-murphy-we-face-a-total-economical-collapse-if-we-dont-start-the-road-back/
39,39,https://radio.foxnews.com/2020/04/24/jersey-mikes-ceo-peter-cancro-on-keeping-stores-open-during-covid-19-giving-back-to-those-in-need/
40,40,https://radio.foxnews.com/2020/04/23/governor-chris-sununu-r-nh-discusses-how-the-granite-state-is-handling-the-coronavirus-the-steps-he-is-taking-to-reopen-the-state/
41,41,https://radio.foxnews.com/2020/04/22/jesse-watters-talks-what-its-like-to-co-host-the-five-during-coronavirus-what-hes-binge-watching-during-quarantine/
42,42,https://radio.foxnews.com/2020/04/22/house-minority-leader-kevin-mccarthy-r-ca-slams-pelosi-for-not-funding-small-business-loans-sooner-there-were-22-million-reasons-why-they-should-have-said-yes/
43,43,https://radio.foxnews.com/2020/04/22/dr-marc-siegel-the-summer-months-will-help-to-get-things-re-opened/
44,44,https://radio.foxnews.com/2020/04/22/rep-jim-jordan-i-dont-blame-protesters-at-state-capitols-i-support-them/
45,45,https://radio.foxnews.com/2020/04/21/martha-maccallum-on-what-its-like-to-host-the-story-every-night-amid-the-coronavirus-pandemic/
46,46,https://radio.foxnews.com/2020/04/21/sen-tom-cotton-r-ar-calls-china-a-pariah-state-urges-u-s-pharmaceutical-companies-to-move-manufacturing-out-of-china/
47,47,https://radio.foxnews.com/2020/04/21/host-of-bar-rescue-jon-taffer-on-customers-returning-to-restaurants-once-they-reopen-its-all-about-trust-cleanliness/
48,48,https://radio.foxnews.com/2020/04/26/ill-tell-you-what-else-this-podcast-is-a-time-capsule/
49,49,https://radio.foxnews.com/2020/04/24/reopening-the-economy-comes-with-mixed-messages/
50,50,https://radio.foxnews.com/2020/04/24/trump-draws-media-mockery-for-musings-in-sunlight-disinfectant/
51,51,https://radio.foxnews.com/2020/04/23/trump-says-media-misquoted-cdc-chief-he-says-not-true/
52,52,https://radio.foxnews.com/2020/04/23/another-close-call-christina-stantons-brush-with-9-11-and-covid19/
53,53,https://radio.foxnews.com/2020/04/23/jennie-allen-get-out-of-your-head/
54,54,https://radio.foxnews.com/2020/04/22/trump-limits-immigration-freeze-cdc-warns-of-deadly-second-wave/
55,55,https://radio.foxnews.com/2020/04/22/mga-entertainment-ceo-philanthropy-at-its-finest/
56,56,https://radio.foxnews.com/2020/04/21/rep-matt-gaetz-we-should-pass-legislation-so-americans-can-sue-china-for-damages/
57,57,https://radio.foxnews.com/2020/04/21/dr-nicole-saphier-the-covid-19-models-were-wrong-thanks-to-the-resolve-of-americans/
58,58,https://radio.foxnews.com/2020/04/21/rep-michael-waltz-we-cant-print-enough-money-for-all-the-businesses-that-need-it/
59,59,https://radio.foxnews.com/2020/04/21/trumps-latest-virus-strategy-freezing-legal-immigration/
60,60,https:/hc/en-us/articles/233193268-Can-I-email-my-favorite-show-or-host-
61,61,https:/hc/en-us/articles/233192948-Where-can-I-watch-Fox-News-Channel-
62,62,https:/hc/en-us/articles/360037165893-Link-Sensitivity-Issue-with-iOS-App
63,63,https:/hc/en-us/articles/233200548-Do-the-Fox-News-and-Fox-Business-Network-Android-applications-cost-anything-
64,64,https:/hc/en-us/articles/233195048-What-is-the-Fox-News-Commenting-Policy-
65,65,https:/hc/en-us/articles/360041081753-Why-am-I-seeing-an-AdBlocker-banner-
66,66,https:/hc/en-us/articles/115004332587-What-web-browsers-do-you-support-
67,67,https://www.foxbusiness.com/lifestyle/coronavirus-vulnerable-customers
68,68,https://www.foxbusiness.com/lifestyle/powerful-men-are-relying-on-botox-non-invasive-procedures
69,69,https://www.foxbusiness.com/money/us-gdp-12-percent-deficit-3-trillion
70,70,https://www.foxbusiness.com/money/coronavirus-impact-on-social-security
71,71,https://www.foxbusiness.com/markets/boeing-ends-its-deal-with-brazilian-jet-maker-embraer
72,72,https://www.foxbusiness.com/real-estate/coronavirus-stage-home-sell-fast
73,73,https://www.foxbusiness.com/lifestyle/kanye-west-billionaire
74,74,https://www.foxbusiness.com/money/charities-struggling-financially-coronavirus
75,75,https://www.foxbusiness.com/lifestyle/commercial-burglaries-coronavirus-shutdown-new-york-city
76,76,https://www.foxbusiness.com/lifestyle/nashville-musicians-find-themselves-without-jobs-or-benefits
77,77,https://www.foxbusiness.com/sports/nfl-marques-colston-coronavirus-quarantine-routine
78,78,https://www.foxbusiness.com/lifestyle/expensive-retirement-communities-cost-millions
79,79,https://www.foxbusiness.com/sports/coronavirus-stadiums-arenas
80,80,https://www.foxbusiness.com/real-estate/what-you-can-get-for-1m-phoenix
81,81,https://www.foxbusiness.com/markets/trump-apples-tim-cook-sees-v-shaped-recovery
82,82,https://www.foxbusiness.com/lifestyle/no-evidence-that-recovered-covid-19-patients-cannot-be-reinfected-w-h-o
83,83,https://www.foxbusiness.com/money/irs-coronavirus-stimulus-get-my-payment-tool-getting-an-update
84,84,https://www.foxbusiness.com/markets/coronavirus-ignites-surge-government-spending
85,85,https://www.foxbusiness.com/personal-finance/coronavirus-stimulus-cash-states-received-most-money
86,86,https://www.foxbusiness.com/politics/bloomberg-moves-past-presidential-defeat-with-virus-crusade
87,87,https://www.foxbusiness.com/real-estate/reese-witherspoon-sells-17m-california-mansion
88,88,https://www.foxbusiness.com/lifestyle/despite-risks-auto-workers-step-up-to-make-medical-gear
89,89,https://www.foxbusiness.com/markets/as-coronavirus-decimates-energy-industry-us-mulls-taking-stakes-in-companies-mnuchin
90,90,https://www.foxbusiness.com/markets/citiadels-ken-griffin-makes-big-tesla-bet
91,91,https://www.foxbusiness.com/markets/scaramuccis-skybridge-redemption-requests-hedge-funds
92,92,https://www.foxbusiness.com/sports/2020-nfl-draft-betting-draftkings-jason-robins
93,93,https://www.foxbusiness.com/sports/nfl-draft-joe-burrow-bengals-marques-colston
94,94,https://www.foxbusiness.com/markets/coronavirus-forces-hormel-foods-to-close-2-jennie-o-turkey-plants
95,95,https://www.foxbusiness.com/sports/jerry-jones-nfl-draft-super-yacht
96,96,https://www.foxbusiness.com/personal-finance/coronavirus-ppp-loans-should-business-owners-update-their-applications
97,97,https://www.foxbusiness.com/markets/autonation-coronavirus-loan
98,98,https://www.foxbusiness.com/money/coronavirus-pandemic-could-hurt-low-wage-workers-the-most-study-finds
99,99,https://www.foxbusiness.com/markets/pandemic-could-fuel-demand-for-diaspora-bonds-says-world-bank
100,100,https://www.foxbusiness.com/lifestyle/columbia-university-pace-university-students-tuition-housing
101,101,https://www.foxbusiness.com/features/corporate-bankruptcies-likely-to-surge-as-states-request-federal-aid
102,102,https://www.foxbusiness.com/lifestyle/amazon-extending-pay-bump-to-workers-during-coronavirus
103,103,https://www.foxbusiness.com/lifestyle/gates-nataioanl-coronavirus-test-concerns
104,104,https://www.foxbusiness.com/technology/french-court-amazon-coronavirus-deliveries
105,105,https://www.foxbusiness.com/markets/disney-on-ice-workers-laid-off-coronavirus-pandemic
106,106,https://www.foxbusiness.com/lifestyle/ikea-visitors-returning-fast-in-china-germany
107,107,https://video.foxbusiness.com/v/6151989695001/?playlist_id=933116651001
108,108,https://video.foxbusiness.com/v/6151944147001/?playlist_id=933116651001
109,109,https://video.foxbusiness.com/v/6151951603001/?playlist_id=933116651001
110,110,https://video.foxbusiness.com/v/6151965363001/?playlist_id=933116651001
111,111,https://video.foxbusiness.com/v/6151922163001/?playlist_id=933116651001
112,112,https://www.foxbusiness.com/money/us-gdp-12-percent-deficit-3-trillion
113,113,https://www.foxbusiness.com/money/charities-struggling-financially-coronavirus
114,114,https://www.foxbusiness.com/money/coronavirus-impact-on-social-security
115,115,https://www.foxbusiness.com/money/irs-coronavirus-stimulus-get-my-payment-tool-getting-an-update
116,116,https://www.foxbusiness.com/money/coronavirus-pandemic-could-hurt-low-wage-workers-the-most-study-finds
117,117,https://www.foxbusiness.com/markets/disney-touts-giving-spirit-as-100000-workers-go-unpaid
118,118,https://www.foxbusiness.com/markets/boeing-ends-its-deal-with-brazilian-jet-maker-embraer
119,119,https://www.foxbusiness.com/markets/coronavirus-ignites-surge-government-spending
120,120,https://www.foxbusiness.com/markets/as-coronavirus-decimates-energy-industry-us-mulls-taking-stakes-in-companies-mnuchin
121,121,https://www.foxbusiness.com/markets/trump-apples-tim-cook-sees-v-shaped-recovery
122,122,https://www.foxbusiness.com/lifestyle/commercial-burglaries-coronavirus-shutdown-new-york-city
123,123,https://www.foxbusiness.com/lifestyle/kanye-west-billionaire
124,124,https://www.foxbusiness.com/lifestyle/powerful-men-are-relying-on-botox-non-invasive-procedures
125,125,https://www.foxbusiness.com/lifestyle/nashville-musicians-find-themselves-without-jobs-or-benefits
126,126,https://www.foxbusiness.com/lifestyle/despite-risks-auto-workers-step-up-to-make-medical-gear
127,127,https://www.foxbusiness.com/real-estate/what-you-can-get-for-1m-phoenix
128,128,https://www.foxbusiness.com/real-estate/reese-witherspoon-sells-17m-california-mansion
129,129,https://www.foxbusiness.com/real-estate/princes-former-mansion-hits-the-market-for-30m
130,130,https://www.foxbusiness.com/real-estate/new-home-sales-coronavirus-march
131,131,https://www.foxbusiness.com/real-estate/after-coronavirus-subsides-wealthy-hamptons-real-estate-market-poised-for-takeoff
132,132,https://www.foxbusiness.com/small-business/godaddy-slack-paypal-salesforce-small-business
133,133,https://www.foxbusiness.com/technology/french-court-amazon-coronavirus-deliveries
134,134,https://www.foxbusiness.com/technology/apple-apple-google-coronavirus-contact-tracing-updates
135,135,https://www.foxbusiness.com/technology/facebook-gets-rid-of-pseudoscience-ad-targeting-category
136,136,https://www.foxbusiness.com/technology/droneup-ups-testing-coronavirus-medical-supply-delivery
137,137,https://www.foxbusiness.com/technology/amazon-says-it-doesnt-use-sellers-data-after-wall-street-journal-story
138,138,https://www.foxbusiness.com/sports/nfl-marques-colston-coronavirus-quarantine-routine
139,139,https://www.foxbusiness.com/sports/coronavirus-stadiums-arenas
140,140,https://www.foxbusiness.com/sports/jerry-jones-nfl-draft-super-yacht
141,141,https://www.foxbusiness.com/sports/2020-nfl-draft-viewership-record-tv-ratings
